,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
0,AAS 100: Intro Asian American Studies,1838,3.49,11.4,42.9,14.0,7.8,10.2,4.4,2.3,1.7,1.4,0.5,0.4,0.3,2.7
1,AAS 120: Intro to Asian Am Pop Culture,52,3.57,7.7,51.9,15.4,5.8,3.8,1.9,5.8,3.8,1.9,0.0,1.9,0.0,0.0
2,AAS 200: U.S. Race and Empire,166,3.53,13.3,42.8,15.7,9.6,7.2,4.2,0.6,0.6,0.6,0.6,1.8,0.6,2.4
3,AAS 215: US Citizenship Comparatively,125,3.66,24.0,37.6,15.2,13.6,1.6,1.6,2.4,0.0,0.0,1.6,1.6,0.0,0.8
4,AAS 246: Asian American Youth in Film,98,3.88,30.6,59.2,4.1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,ABE 100: Intro Agric & Biological Engrg,65,3.73,0.0,75.4,4.6,10.8,3.1,0.0,3.1,0.0,0.0,1.5,0.0,0.0,1.5
6,ABE 141: ABE Principles: Biological,27,3.1,0.0,18.5,14.8,22.2,18.5,7.4,0.0,11.1,3.7,0.0,3.7,0.0,0.0
7,ABE 152: Water in the Global Environment,1860,3.79,54.4,34.2,0.6,2.2,3.2,0.4,0.9,0.8,0.0,0.2,0.5,0.0,2.6
8,ABE 223: ABE Principles: Machine Syst,23,3.7,0.0,82.6,4.3,4.3,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0
9,ABE 224: ABE Principles: Soil & Water,47,3.76,17.0,61.7,0.0,10.6,6.4,0.0,0.0,2.1,0.0,0.0,2.1,0.0,0.0
10,ABE 225: ABE Principles: Bioenvironment,50,3.29,10.0,26.0,12.0,24.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0
11,ABE 226: ABE Principles: Bioprocessing,47,3.02,8.5,14.9,19.1,14.9,10.6,17.0,0.0,2.1,2.1,0.0,2.1,2.1,6.4
12,ABE 425: Engrg Measurement Systems,62,3.96,17.7,77.4,0.0,3.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ABE 436: Renewable Energy Systems,62,3.35,6.5,12.9,25.8,29.0,6.5,9.7,6.5,3.2,0.0,0.0,0.0,0.0,0.0
14,ABE 457: NPS Pollution Processes,80,3.63,3.7,47.5,22.5,10.0,7.5,2.5,2.5,1.2,2.5,0.0,0.0,0.0,0.0
15,ABE 469: Industry-Linked Design Project,134,3.72,11.9,44.8,17.9,11.9,11.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ABE 498: Special Topics,45,3.93,17.8,64.4,13.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ACCY 200: Fundamentals of Accounting,3631,3.52,22.5,30.8,12.2,10.4,9.4,5.1,3.8,2.5,1.2,0.7,0.6,0.2,0.6
18,ACCY 201: Accounting and Accountancy I,3482,3.07,20.5,18.4,10.6,8.4,9.1,6.5,4.7,6.5,4.9,2.4,2.7,2.9,2.6
19,ACCY 202: Accounting and Accountancy II,2783,3.26,12.9,23.0,7.8,14.0,19.4,6.4,5.8,4.9,3.7,0.0,1.5,0.0,0.4
20,ACCY 301: Atg Measurement & Disclosure,1303,3.3,13.6,21.3,15.9,14.4,12.7,7.6,5.3,3.6,2.8,1.0,1.0,0.2,0.8
21,ACCY 302: Decision Making for Atg,1376,3.42,11.9,24.9,20.3,15.0,11.3,7.2,4.6,1.7,1.2,0.7,0.5,0.2,0.5
22,ACCY 303: Accounting Institutions and Regulation,1385,3.33,16.8,28.9,11.8,10.5,9.6,6.7,3.8,4.0,2.6,1.4,1.3,1.4,1.2
23,ACCY 304: Accounting Control Systems,1392,3.38,6.8,29.6,15.4,13.1,20.3,5.3,2.8,3.9,1.1,0.2,0.4,0.1,0.7
24,ACCY 312: Principles of Taxation,1204,3.34,10.8,22.5,12.9,16.0,17.9,11.5,3.0,4.1,0.2,0.2,0.2,0.0,0.8
25,ACCY 398: Practical Problems in Atg,1078,3.89,1.4,93.2,0.0,0.0,1.6,0.0,0.0,2.8,0.0,0.0,0.0,0.0,1.0
26,ACCY 405: Assurance and Attestation,1309,3.42,2.0,30.8,20.7,16.9,15.3,6.3,3.8,2.1,1.1,0.3,0.5,0.0,0.2
27,ACCY 410: Advanced Financial Reporting,1200,3.31,10.1,23.9,16.6,11.9,15.7,9.6,3.8,4.1,1.7,0.3,1.5,0.2,0.5
28,ACCY 449: Tax in Action - VITA,52,3.94,0.0,94.2,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ACCY 451: Advanced Income Tax Problems,840,3.38,7.5,38.3,8.5,8.9,19.9,2.6,1.7,9.2,2.4,0.2,0.5,0.0,0.4
30,"ACCY 500: Accounting Measurement, Reporting, and Control",11144,3.84,54.9,23.3,10.1,5.6,3.7,1.2,0.5,0.1,0.1,0.0,0.0,0.0,0.4
31,ACCY 501: Accounting Analysis I,120,3.58,27.5,28.3,20.0,8.3,8.3,1.7,1.7,0.0,0.0,0.0,0.0,0.0,4.2
32,ACCY 501: Accounting Analysis I A,1325,3.43,14.6,30.1,18.8,12.8,9.7,4.2,2.4,2.1,0.8,0.4,0.3,0.3,3.4
33,ACCY 502: Accounting Analysis II,459,3.58,15.3,39.7,14.2,8.5,10.9,3.7,2.8,2.4,1.7,0.4,0.4,0.0,0.0
34,ACCY 502: Accounting Analysis II A,1219,3.44,12.0,29.0,16.6,13.3,11.9,7.3,3.2,4.5,1.6,0.0,0.0,0.0,0.6
35,ACCY 503: Managerial Accounting,18876,3.66,34.7,30.0,12.0,8.8,6.6,3.1,1.2,1.1,0.4,0.1,0.1,0.1,2.0
36,ACCY 503: Managerial Accounting A,902,3.51,10.4,28.9,20.8,19.1,14.6,2.0,1.0,1.0,0.2,0.0,0.1,0.0,1.8
37,ACCY 504: Auditing,417,3.67,1.0,47.2,23.3,16.5,6.7,3.1,1.4,0.7,0.0,0.0,0.0,0.0,0.0
38,ACCY 504: Auditing A,1377,3.46,5.5,27.4,18.9,12.0,31.4,3.3,0.6,0.1,0.0,0.0,0.2,0.0,0.6
39,ACCY 505: Federal Taxation,588,3.58,18.4,31.5,11.6,14.8,14.6,6.3,1.5,0.5,0.5,0.2,0.2,0.0,0.0
40,ACCY 505: Federal Taxation A,638,3.6,16.6,37.0,16.3,13.5,7.5,4.4,1.7,1.3,0.0,0.0,0.0,0.0,1.7
41,ACCY 506: Advanced Financial Reporting,209,3.42,14.8,33.0,11.5,9.6,8.1,12.0,4.8,2.4,1.9,0.0,1.4,0.0,0.5
42,ACCY 506: Advanced Topics in Accounting,142,3.64,14.8,27.5,19.7,28.9,6.3,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0
43,ACCY 507: Taxation of Bus Entities A,494,3.61,19.6,32.8,18.0,11.7,8.9,3.2,2.0,2.0,0.6,0.4,0.4,0.0,0.2
