,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
0,ENG 491: Cubesat 1,21,3.95,28.6,66.7,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CS 498: Intro to Quantum Computing,60,3.92,23.3,60.0,10.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ECE 298: Semiconductor Chips Revolution,258,3.91,15.5,73.6,3.9,3.9,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0
3,CS 498: End-to-End Data Science,64,3.91,50.0,40.6,4.7,1.6,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0
4,ECE 498: Advanced VLSI System Design,132,3.9,0.0,81.8,9.1,6.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,IB 481: Vector-borne Diseases,21,3.9,33.3,52.4,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ME 401: Refrigeration and Cryogenics,25,3.89,52.0,32.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,IB 452: Ecosystem Ecology,123,3.88,31.7,52.8,8.1,1.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
8,CS 410: Text Information Systems,1277,3.87,51.2,30.1,11.2,3.2,2.0,0.9,0.0,0.8,0.0,0.0,0.2,0.0,0.5
9,ECE 469: Power Electronics Laboratory,145,3.86,53.8,29.7,8.3,3.4,2.1,0.7,0.0,0.7,0.0,0.0,0.7,0.7,0.0
10,ECE 498: Electric Mobility Systems,22,3.85,4.5,54.5,36.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,IB 432: Genes and Behavior,317,3.85,13.6,73.5,0.0,0.6,10.4,0.0,0.3,0.9,0.0,0.0,0.3,0.0,0.3
12,NPRE 458: Design in NPRE,48,3.83,0.0,75.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,IB 471: Fungal Diversity and Ecology,96,3.83,16.7,45.8,29.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,PHYS 403: Modern Experimental Physics,26,3.83,26.9,46.2,11.5,11.5,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CS 467: Social Visualization,145,3.82,17.9,53.1,17.9,4.8,4.1,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.7
16,ECE 343: Electronic Circuits Laboratory,26,3.81,65.4,23.1,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0
17,MCB 253: Exp Techniqs in Cellular Biol,1031,3.81,46.2,29.0,10.5,6.9,4.1,1.1,0.6,0.6,0.2,0.3,0.2,0.0,0.5
18,CS 498: Applied Machine Learning,347,3.8,5.5,80.7,5.8,1.4,0.6,0.9,0.6,0.9,1.2,0.0,0.6,0.0,2.0
19,CHBE 430: Unit Operations Laboratory,135,3.8,3.7,50.4,36.3,6.7,2.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,BIOE 414: Biomedical Instrumentation,139,3.8,50.4,22.3,9.4,9.4,6.5,0.7,0.7,0.0,0.7,0.0,0.0,0.0,0.0
21,CS 411: Database Systems,888,3.79,35.1,45.9,5.5,4.4,2.9,2.6,0.9,0.5,0.7,0.0,0.1,0.2,1.1
22,ECE 498: Power Electronics Control,25,3.79,56.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
23,ECE 498: Quantum Info Processing Theory,31,3.79,0.0,51.6,32.3,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,CPSC 265: Genetic Engineering Lab,23,3.78,0.0,73.9,0.0,21.7,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
25,CS 463: Computer Security II,590,3.78,53.7,20.7,12.0,3.7,4.9,1.5,0.8,1.0,0.0,0.2,0.3,0.0,1.0
26,CS 498: Data Management in the Cloud,37,3.78,51.4,18.9,10.8,10.8,5.4,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0
27,CS 498: Computational Advertising,96,3.78,20.8,49.0,20.8,5.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1
28,CS 427: Software Engineering I,815,3.77,37.4,36.4,12.3,5.4,3.2,1.8,0.0,1.8,0.0,0.0,0.7,0.0,0.9
29,SE 423: Mechatronics,167,3.77,20.4,53.3,6.0,8.4,8.4,2.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0
30,CS 498: Game Development,364,3.76,32.7,45.6,8.0,4.9,2.2,1.1,0.8,1.4,1.4,0.0,1.1,0.0,0.8
31,ME 460: Industrial Control Systems,79,3.75,15.2,43.0,19.0,15.2,5.1,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0
32,BIOE 485: Computational Math,21,3.75,4.8,61.9,4.8,19.0,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ME 461: Computer Cntrl of Mech Systems,133,3.75,4.5,60.9,18.0,6.0,7.5,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.8
34,CS 498: Introduction to Machine Percep,57,3.74,61.4,24.6,1.8,1.8,5.3,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.5
35,CS 441: Applied Machine Learning,1287,3.74,2.7,76.0,8.9,2.9,1.9,1.8,1.2,0.6,0.8,0.4,0.2,0.4,2.3
36,"ASTR 350: The Big Bang, Black Holes, and the End of the Universe",137,3.73,6.6,65.0,8.8,8.0,5.1,1.5,2.2,0.0,2.2,0.0,0.0,0.0,0.7
37,IB 451: Conservation Biology,200,3.72,26.0,38.5,16.5,6.0,7.0,3.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
38,STAT 440: Statistical Data Management,33,3.72,30.3,39.4,9.1,0.0,9.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,IB 202: Physiology,1616,3.72,0.0,76.9,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.6,0.0,0.5
40,IB 405: Evolution of Traits and Genomes,69,3.72,5.8,66.7,5.8,7.2,10.1,0.0,1.4,1.4,0.0,0.0,0.0,0.0,1.4
41,CS 444: Deep Learning for Computer Vision,750,3.72,22.0,58.9,1.6,1.7,8.5,0.8,0.7,3.1,0.1,0.1,0.7,0.3,1.5
42,CS 498: Trustworthy Machine Learning,24,3.71,12.5,62.5,0.0,12.5,4.2,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0
43,CS 498: Intro to Deep Learning,167,3.71,22.2,59.3,1.2,1.8,6.0,2.4,0.0,3.6,0.6,0.6,1.2,0.6,0.6
44,CS 424: Real-Time Systems,196,3.7,17.9,41.3,13.3,12.2,10.7,2.6,1.5,0.5,0.0,0.0,0.0,0.0,0.0
45,AE 403: Spacecraft Attitude Control,30,3.69,33.3,36.7,13.3,3.3,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3
46,CEE 330: Environmental Engineering,279,3.69,7.2,43.4,25.8,16.8,1.8,2.5,1.1,0.4,0.7,0.0,0.0,0.0,0.4
47,ECE 455: Optical Electronics,36,3.69,22.2,38.9,8.3,16.7,5.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,ECE 402: Electronic Music Synthesis,94,3.68,11.7,51.1,8.5,10.6,12.8,2.1,0.0,3.2,0.0,0.0,0.0,0.0,0.0
49,IB 468: Insect Classification and Evol,23,3.68,17.4,39.1,13.0,17.4,8.7,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
